"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2018","9,010.0","8,850.0","9,040.0","8,820.0","169.54K","0.11%"
"Apr 06, 2018","9,000.0","9,060.0","9,080.0","8,900.0","135.91K","-0.66%"
"Apr 05, 2018","9,060.0","9,040.0","9,060.0","8,800.0","58.55K","0.67%"
"Apr 04, 2018","9,000.0","9,280.0","9,280.0","8,730.0","224.67K","-0.77%"
"Apr 03, 2018","9,070.0","8,900.0","9,070.0","8,760.0","72.33K","0.22%"
"Apr 02, 2018","9,050.0","9,030.0","9,300.0","8,900.0","71.06K","-0.11%"
"Mar 30, 2018","9,060.0","9,110.0","9,270.0","9,040.0","18.73K","-0.98%"
"Mar 29, 2018","9,150.0","9,150.0","9,190.0","9,110.0","50.20K","0.00%"
"Mar 28, 2018","9,150.0","9,200.0","9,380.0","9,110.0","9.85K","-0.54%"
"Mar 27, 2018","9,200.0","9,390.0","9,390.0","9,200.0","41.30K","-0.76%"
"Mar 26, 2018","9,270.0","9,400.0","9,400.0","9,210.0","65.87K","0.00%"
"Mar 23, 2018","9,270.0","9,120.0","9,280.0","9,000.0","76.67K","1.64%"
"Mar 22, 2018","9,120.0","9,170.0","9,450.0","9,120.0","206.14K","-0.55%"
"Mar 21, 2018","9,170.0","9,450.0","9,450.0","9,100.0","197.61K","-2.96%"
"Mar 20, 2018","9,450.0","9,640.0","9,640.0","9,200.0","102.12K","-1.05%"
"Mar 19, 2018","9,550.0","9,680.0","9,680.0","9,400.0","74.84K","-1.04%"
"Mar 16, 2018","9,650.0","9,750.0","9,750.0","9,500.0","74.28K","0.00%"
"Mar 15, 2018","9,650.0","9,800.0","9,800.0","9,600.0","61.85K","-1.23%"
"Mar 14, 2018","9,770.0","9,880.0","9,880.0","9,630.0","26.23K","-0.71%"
"Mar 13, 2018","9,840.0","9,820.0","9,870.0","9,800.0","7.95K","-0.10%"
"Mar 12, 2018","9,850.0","9,900.0","9,900.0","9,700.0","31.79K","-0.51%"
"Mar 09, 2018","9,900.0","9,700.0","9,990.0","9,700.0","20.14K","0.30%"
"Mar 08, 2018","9,870.0","9,800.0","9,900.0","9,700.0","12.71K","0.71%"
"Mar 07, 2018","9,800.0","9,880.0","9,890.0","9,600.0","16.66K","-1.01%"
"Mar 06, 2018","9,900.0","9,950.0","9,950.0","9,600.0","308.15K","-1.00%"
"Mar 05, 2018","10,000.0","10,100.0","10,150.0","10,000.0","57.51K","-1.96%"
"Mar 02, 2018","10,200.0","10,000.0","10,300.0","9,800.0","40.26K","2.00%"
"Mar 01, 2018","10,000.0","9,500.0","10,100.0","9,500.0","53.69K","0.00%"
"Feb 28, 2018","10,000.0","10,300.0","10,400.0","10,000.0","108.80K","-3.85%"
"Feb 27, 2018","10,400.0","10,400.0","10,600.0","10,300.0","22.50K","-0.95%"
"Feb 26, 2018","10,500.0","10,600.0","10,600.0","10,200.0","115.73K","-0.94%"
"Feb 23, 2018","10,600.0","10,600.0","10,650.0","10,450.0","127.41K","-2.75%"
"Feb 22, 2018","10,900.0","11,000.0","11,000.0","10,700.0","29.42K","0.46%"
"Feb 21, 2018","10,850.0","10,550.0","10,850.0","10,550.0","22.90K","0.46%"
"Feb 13, 2018","10,800.0","10,950.0","10,950.0","10,700.0","16.63K","0.93%"
"Feb 12, 2018","10,700.0","10,550.0","10,900.0","10,300.0","97.26K","1.90%"
"Feb 09, 2018","10,500.0","10,500.0","10,800.0","10,500.0","116.72K","-4.11%"
"Feb 08, 2018","10,950.0","11,000.0","11,000.0","10,700.0","59.50K","1.86%"
"Feb 07, 2018","10,750.0","10,700.0","10,750.0","10,400.0","315.33K","0.47%"
"Feb 06, 2018","10,700.0","9,970.0","10,700.0","9,970.0","465.11K","0.00%"
"Feb 05, 2018","10,700.0","10,850.0","10,850.0","10,500.0","411.54K","1.90%"
"Feb 02, 2018","10,500.0","10,600.0","10,900.0","10,500.0","87.53K","0.96%"
"Feb 01, 2018","10,400.0","10,200.0","10,650.0","10,150.0","184.34K","-2.35%"
"Jan 31, 2018","10,650.0","11,000.0","11,100.0","10,650.0","363.92K","-5.33%"
"Jan 30, 2018","11,250.0","11,150.0","11,250.0","11,100.0","127.56K","0.00%"
