"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 05, 2017","47,908.0","47,908.0","47,908.0","47,472.0","7.54K","-0.90%"
"Dec 04, 2017","48,343.0","48,343.0","48,343.0","47,472.0","90.05K","1.09%"
"Dec 01, 2017","47,821.0","48,343.0","48,343.0","47,647.0","8.92K","-1.08%"
"Nov 30, 2017","48,343.0","49,127.0","49,127.0","47,037.0","6.52K","1.46%"
"Nov 29, 2017","47,647.0","47,479.0","47,647.0","47,479.0","5.01K","-0.18%"
"Nov 28, 2017","47,731.0","47,479.0","47,731.0","47,479.0","7.40K","0.53%"
"Nov 27, 2017","47,479.0","47,479.0","47,899.0","47,479.0","17.14K","0.00%"
"Nov 24, 2017","47,479.0","47,479.0","47,479.0","46,218.0","22.78K","1.80%"
"Nov 23, 2017","46,638.0","49,495.0","49,495.0","46,638.0","15.07K","-5.77%"
"Nov 22, 2017","49,495.0","49,579.0","49,579.0","49,411.0","5.91K","-0.17%"
"Nov 21, 2017","49,579.0","49,579.0","50,336.0","49,579.0","9.83K","0.00%"
"Nov 20, 2017","49,579.0","50,420.0","50,420.0","49,579.0","2.55K","0.00%"
"Nov 17, 2017","49,579.0","49,579.0","49,579.0","48,991.0","4.11K","0.00%"
"Nov 16, 2017","49,579.0","49,579.0","49,579.0","49,243.0","3.32K","0.00%"
"Nov 15, 2017","49,579.0","49,579.0","49,916.0","48,991.0","6.53K","-0.84%"
"Nov 14, 2017","50,000.0","50,000.0","50,000.0","50,000.0","2.56K","-0.50%"
"Nov 13, 2017","50,252.0","50,252.0","50,336.0","50,252.0","2.39K","0.34%"
"Nov 10, 2017","50,084.0","50,336.0","50,336.0","50,084.0","2.59K","-0.50%"
"Nov 09, 2017","50,336.0","50,420.0","50,420.0","50,000.0","1.84K","-0.17%"
"Nov 08, 2017","50,420.0","50,420.0","50,420.0","50,420.0","2.42K","0.00%"
"Nov 07, 2017","50,420.0","50,168.0","50,420.0","50,168.0","12.77K","0.17%"
"Nov 06, 2017","50,336.0","50,420.0","50,420.0","49,663.0","0.23K","-0.17%"
"Nov 03, 2017","50,420.0","50,336.0","50,420.0","50,000.0","4.02K","0.00%"
"Nov 02, 2017","50,420.0","50,252.0","50,420.0","50,252.0","3.32K","0.33%"
"Nov 01, 2017","50,252.0","50,000.0","50,252.0","50,000.0","1.29K","-0.33%"
"Oct 31, 2017","50,420.0","50,000.0","50,420.0","50,000.0","7.40K","0.84%"
"Oct 30, 2017","50,000.0","49,579.0","50,000.0","47,899.0","5.75K","0.00%"
"Oct 27, 2017","50,000.0","50,000.0","50,000.0","49,159.0","3.73K","0.34%"
"Oct 26, 2017","49,832.0","49,579.0","49,832.0","48,739.0","0.66K","-0.34%"
"Oct 25, 2017","50,000.0","50,000.0","50,000.0","49,579.0","2.34K","0.00%"
"Oct 24, 2017","50,000.0","50,000.0","50,420.0","50,000.0","3.01K","-0.67%"
"Oct 23, 2017","50,336.0","50,252.0","50,336.0","50,252.0","0.98K","0.17%"
"Oct 20, 2017","50,252.0","50,336.0","50,336.0","50,252.0","2.20K","-0.33%"
"Oct 19, 2017","50,420.0","50,420.0","50,420.0","50,336.0","3.12K","0.00%"
"Oct 18, 2017","50,420.0","49,579.0","50,420.0","49,579.0","2.55K","0.17%"
"Oct 17, 2017","50,336.0","50,000.0","50,420.0","50,000.0","1.28K","-0.17%"
"Oct 16, 2017","50,420.0","50,840.0","50,840.0","50,420.0","2.66K","-0.83%"
"Oct 13, 2017","50,840.0","50,420.0","50,840.0","50,420.0","0.55K","-0.33%"
"Oct 12, 2017","51,008.0","51,260.0","51,260.0","49,579.0","3.18K","-0.49%"
"Oct 11, 2017","51,260.0","51,260.0","51,260.0","51,260.0","8.25K","0.00%"
"Oct 10, 2017","51,260.0","50,252.0","53,277.0","50,252.0","4.73K","2.87%"
"Oct 09, 2017","49,832.0","49,579.0","50,000.0","48,739.0","5.08K","1.20%"
"Oct 06, 2017","49,243.0","49,243.0","49,579.0","49,243.0","4.40K","0.00%"
"Oct 05, 2017","49,243.0","49,579.0","49,579.0","49,243.0","3.41K","-0.68%"
"Oct 04, 2017","49,579.0","49,579.0","49,579.0","49,495.0","1.96K","0.17%"
"Oct 03, 2017","49,495.0","49,579.0","49,747.0","49,243.0","6.59K","-0.17%"
"Oct 02, 2017","49,579.0","50,000.0","50,000.0","49,075.0","4.20K","0.17%"
"Sep 29, 2017","49,495.0","49,495.0","49,495.0","49,243.0","8.07K","0.68%"
"Sep 28, 2017","49,159.0","48,907.0","49,495.0","48,907.0","39.68K","0.52%"
